 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8787712139463 ;SP ;SOROCABA ;APARECIDINHA ;RUA 07, N. 91, QD A5 LT 37 ;174.500,00;174.500,00;0.00;Casa, 0.00 de área total, 42.09 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712139463
 8444403970319 ;SP ;SOROCABA ;JARDIM SANTA ESMERALDA ;RUA PROFª  VERA APPARECIDA GUARIGLIA DOS SANTOS, N. 286, Apto 0, CS 2, ;178.000,00;178.000,00;0.00;Casa, 0.00 de área total, 55.00 de área privativa, 103.81 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403970319
 8202500386121 ;SP ;SOROCABA ;JARDIM WANEL VILLE V ;RUA FLORIVAL CANDIDO, N. 77, LT 49 QD F-20 ;185.000,00;185.000,00;0.00;Casa, 0.00 de área total, 59.60 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8202500386121
 8555538325715 ;SP ;SOROCABA ;BAIRRO DA VOSSOROCA ;RUA SERGIO LAMARCA, N. 240, Apto 61, BL 01 ;280.000,00;280.000,00;0.00;Apartamento, 0.00 de área total, 51.09 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538325715
 8444418792128 ;SP ;SOROCABA ;HORTO FLORESTAL ;RUA ANTONIO SERGIO ROCCON, N. SN, LT 7 QD C8 ;187.000,00;187.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 150.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418792128
 8787710704716 ;SP ;SOROCABA ;JARDIM RESIDENCIAL VILLAGIO IPANEMA I ;AV CONCEICAO IMACULADA RODRIGUES, N. 571, CASA 03 VG 03 ;205.000,00;205.000,00;0.00;Casa, 0.00 de área total, 46.26 de área privativa, 64.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710704716
 8555538831190 ;SP ;SOROCABA ;EDEN ;RUA SALVADOR LEITE MARQUES, N. 3, Apto 103, BL 43 ;162.259,76;160.000,00;0.00;Apartamento, 0.00 de área total, 42.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538831190
 8787702326830 ;SP ;SOROCABA ;VILA HELENA ;RUA MARIA PALHARES MIGLIORINI, N. 330, Apto 606, BL 2 ;120.500,00;117.000,00;0.00;Apartamento, 0.00 de área total, 30.60 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702326830
 8444412081580 ;SP ;SOROCABA ;PARQUE SAO BENTO ;RUA PEDRO FERNANDES DA SILVA, N. 105, CS 01 ;146.305,86;141.700,00;0.00;Casa, 0.00 de área total, 41.62 de área privativa, 83.33 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412081580
 8787709006644 ;SP ;SOROCABA ;IPORANGA ;AVENIDA FERNANDO STECCA, N. 3560, Apto 33, BL 03 ;175.211,91;168.000,00;0.00;Apartamento, 0.00 de área total, 41.08 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709006644
 8444431278041 ;SP ;SOROCABA ;ITAVUVU ;RUA GUILHERME BRIVIGLIERI, N. 272, CS 01 ;132.951,80;127.000,00;0.00;Casa, 0.00 de área total, 25.59 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444431278041
 8444427304670 ;SP ;SOROCABA ;PARQUE SAO BENTO ;RUA LUIZA DE SERAFIM CAGALE, N. 148, Apto 07, ;174.850,02;163.562,53;0.00;Apartamento, 0.00 de área total, 35.81 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427304670
 1444417884675 ;SP ;SOROCABA ;CENTRO ;RUA DA PENHA, N. 1242, Apto 101 ;1.621.135,33;1.510.000,00;0.00;Apartamento, 0.00 de área total, 334.20 de área privativa, 0.00 de área do terreno, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417884675
